,Location,Mon_open,Mon_close,Tue_open,Tue_close,Wed_open,Wed_close,Thu_open,Thu_close,Fri_open,Fri_close,Sat_open,Sat_close,Sun_open,Sun_close
0,Severn,800,1400,800,1400,800,1400,800,1400,800,1400,0,0,0,0
1,Iribe,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Food for Thought,730,1750,730,1750,730,1750,730,1750,730,1530,0,0,0,0
3,Samovar Ramen Noodle Bar,800,1500,800,1500,800,1500,800,1500,800,1500,0,0,0,0
4,Creative Commons,745,1415,745,1415,745,1415,745,1415,745,1415,0,0,0,0
5,Green Tidings Mobile Dining,1100,1500,1100,1500,1100,1500,1100,1500,1100,1500,0,0,0,0
6,The Coffee Bar,730,1930,730,1930,730,1930,730,1930,730,1930,1000,1500,0,0
7,Taco Bell Express,1030,1900,1030,1900,1030,1900,1030,1900,1030,1900,0,0,0,0
8,Hibachi San,1000,1930,1000,1930,1000,1930,1000,1930,1000,1930,1100,1600,1100,1600
9,Subway,1100,2100,1100,2100,1100,2100,1100,2100,1100,2100,1230,2100,0,0
10,Sbarro,1030,2030,1030,2030,1030,2030,1030,2030,1030,2030,1100,1630,1100,1600
11,Saladworks,1000,2000,1000,2000,1000,2000,1000,2000,1000,2000,1100,1500,0,0
12,Panda Express,930,2000,930,2000,930,2000,930,2000,930,2000,1100,1800,1100,1800
13,Moby Dick,1030,2000,1030,2000,1030,2000,1030,2000,1030,1900,1100,1500,0,0
14,Maryland Food Co-op,800,1800,800,1800,800,1800,800,1800,800,1800,900,1500,0,0
15,Maryland Dairy,1100,1930,1100,1930,1100,1930,1100,1930,1100,1930,1100,1600,0,0
16,McDonalds,700,2200,700,2200,700,2200,700,2200,700,2200,800,2000,1100,1800
17,Chick-fil-A,730,2000,730,2000,730,2000,730,2000,730,2000,900,2000,0,0
18,Auntie Annes,1030,1900,1030,1900,1030,1900,1030,1900,1030,1900,0,0,0,0
19,The Union,730,2300,730,2300,730,2300,730,2300,730,2300,900,2300,1100,2300
20,North Convenience Shop,745,1300,745,1300,745,1300,745,1300,745,1300,500,1300,500,1300
21,Leonardtown,900,2300,900,2300,900,2300,900,2300,900,1600,0,0,500,2300
22,South Commons Shop,745,1300,745,1300,745,1300,745,1300,745,1300,1000,1300,1000,1300
23,24 Shop,0,1212,0,1212,0,1212,0,1212,0,1212,0,1212,0,1212
24,Sneakers Smoothies,730,2300,730,2300,730,2300,730,2300,730,2100,1100,2100,1200,2300
25,Rudys,730,1900,730,1900,730,1900,730,1900,730,1400,0,0,0,0
26,Quantum,730,1700,730,1700,730,1700,730,1700,730,1400,0,0,0,0
27,Physics,800,1400,800,1400,800,1400,800,1400,800,1400,0,0,0,0
28,Off the Record,745,1415,745,1415,745,1415,745,1415,745,1415,0,0,0,0
29,Kim Kafe,800,1630,800,1630,800,1630,800,1630,800,1400,0,0,0,0
30,Footnotes,730,2400,730,2400,730,2400,730,2400,730,1415,0,0,1200,2400
31,Taco Bell Express,1000,1600,1000,1600,1000,1600,1000,1600,1000,1530,0,0,0,0
32,Subway,700,1830,700,1830,700,1830,700,1830,730,1600,0,0,0,0
33,E+M Cafe,700,1600,700,1600,700,1600,700,1600,700,1500,0,0,0,0
34,Bytes,745,1400,745,1400,745,1400,745,1400,745,1400,0,0,0,0
35,BRBean,800,1500,800,1500,800,1500,800,1500,800,1400,0,0,0,0
36,Applause,1030,1500,1030,1500,1030,1500,1030,1500,1030,1400,0,0,0,0
37,The Turn,730,1530,730,1530,730,1530,730,1530,730,1530,730,1530,730,1530
38,Mulligans Grill and Pub,1130,2000,1130,2000,1130,2000,1130,2000,1130,2000,1130,2000,1130,1700
39,Adeles Restaurant,1130,1400,1130,1400,1130,1400,1130,1400,1130,1400,0,0,0,0
40,Maryland Hillel,800,1900,800,1900,800,1900,800,1900,800,1900,0,0,0,0
41,251 North,1100,2030,1100,2030,1100,2030,1100,2030,1100,2030,0,0,1100,2030
42,South Campus Dining Hall,700,2400,700,2400,700,2400,700,2400,700,2200,1000,2200,1000,2400
43,The Diner,700,2400,700,2400,700,2400,700,2400,700,2200,1000,2200,1000,2400
